Year,Q1,Q2,Q3,Q4
2020,4463.730300039403,5206.146013685001,7452.177147975095,11946.522294722907
2021,6361.2836458875,7836.219093867007,8524.573987406093,8704.2601932713
2022,4020.2011901525034,5527.070590459499,5198.492004786504,5290.5925901289975
2023,3676.779401640502,4958.207103820502,4704.649018108901,5271.682202274096
